"","Nb","Name","Label","Type","CX..pix.","CY..pix.","CZ..pix.","CX..unit.","CY..unit.","CZ..unit.","Xmin..pix.","Ymin..pix.","Zmin..pix.","Xmax..pix.","Ymax..pix.","Zmax..pix.","VolBounding..pix.","RatioVolbox","Vol..unit.","Vol..pix.","Surf..unit.","Surf..pix.","SurfCorr..pix.","Comp..pix.","Spher..pix.","CompCorr..pix.","SpherCorr..pix.","Comp..unit.","Spher..unit.","CompDiscrete","Ell_MajRad","Ell_Elon","Ell_Flatness","volEllipsoid..unit.","RatioVolEllipsoid","DCMin..unit.","DCMax..unit.","DCMean..unit.","DCSD..unit.","X"
"674",673,"obj674-val674",674,0,672,466,0,161.616083878748,112.073058165917,0,672,466,0,672,466,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"675",674,"obj675-val675",675,0,692,466,0,166.426086375139,112.073058165917,0,692,466,0,692,466,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"686",685,"obj686-val686",686,0,663,467,0,159.451582755371,112.313558290737,0,663,467,0,663,467,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"687",686,"obj687-val687",687,0,665,467,0,159.932583005011,112.313558290737,0,665,467,0,665,467,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"698",697,"obj698-val698",698,0,663,468,0,159.451582755371,112.554058415556,0,663,468,0,663,468,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"699",698,"obj699-val699",699,0,671,468,0,161.375583753928,112.554058415556,0,671,468,0,671,468,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"700",699,"obj700-val700",700,0,672,468,0,161.616083878748,112.554058415556,0,672,468,0,672,468,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"701",700,"obj701-val701",701,0,675,468,0,162.337584253206,112.554058415556,0,675,468,0,675,468,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"702",701,"obj702-val702",702,0,695,468,0,167.147586749598,112.554058415556,0,695,468,0,695,468,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"711",710,"obj711-val711",711,0,664,469,0,159.692082880191,112.794558540376,0,664,469,0,664,469,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
