"","Nb","Name","Label","Type","CX..pix.","CY..pix.","CZ..pix.","CX..unit.","CY..unit.","CZ..unit.","Xmin..pix.","Ymin..pix.","Zmin..pix.","Xmax..pix.","Ymax..pix.","Zmax..pix.","VolBounding..pix.","RatioVolbox","Vol..unit.","Vol..pix.","Surf..unit.","Surf..pix.","SurfCorr..pix.","Comp..pix.","Spher..pix.","CompCorr..pix.","SpherCorr..pix.","Comp..unit.","Spher..unit.","CompDiscrete","Ell_MajRad","Ell_Elon","Ell_Flatness","volEllipsoid..unit.","RatioVolEllipsoid","DCMin..unit.","DCMax..unit.","DCMean..unit.","DCSD..unit.","X"
"1451",1450,"obj1451-val1451",1451,0,657,539,0,158.008582006454,129.629567277745,0,657,539,0,657,539,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"1458",1457,"obj1458-val1458",1458,0,665,540,0,159.932583005011,129.870067402565,0,665,540,0,665,540,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"1468",1467,"obj1468-val1468",1468,0,667,541,0,160.41358325465,130.110567527385,0,667,541,0,667,541,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"1481",1480,"obj1481-val1481",1481,0,664,542,0,159.692082880191,130.351067652204,0,664,542,0,664,542,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"1482",1481,"obj1482-val1482",1482,0,677,542,0,162.818584502845,130.351067652204,0,677,542,0,677,542,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"1483",1482,"obj1483-val1483",1483,0,682,542,0,164.021085126943,130.351067652204,0,682,542,0,682,542,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"1484",1483,"obj1484-val1484",1484,0,683,542,0,164.261585251763,130.351067652204,0,683,542,0,683,542,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"1496",1495,"obj1496-val1496",1496,0,653,543,0,157.046581507176,130.591567777024,0,653,543,0,653,543,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"1497",1496,"obj1497-val1497",1497,0,666,543,0,160.17308312983,130.591567777024,0,666,543,0,666,543,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
"1505",1504,"obj1505-val1505",1505,0,660,544,0,158.730082380913,130.832067901843,0,660,544,0,660,544,0,1,1,0.0139106017837957,1,0.347041860229357,6,0,0.523598775598299,0.805996150842667,Inf,Inf,0.523598775598299,0.805996150842667,NA,0,NA,NA,NA,NA,0,0,0,NA,NA
